XPATH,VERSION,COUNT
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/EIN,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ElectingOrg,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,440
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/GrassrootsNontaxableAmount,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/LobbyingNontaxableAmount,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/OtherExemptPurposeExpenditures,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/ShareOfExcessLobbyingExpendtrs,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyExpendMnsLobbyingNontx,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotLobbyingGrassrootMinusNontx,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalDirectLobbying,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalExemptPurposeExpenditures,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalGrassrootsLobbying,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedSchedule/TotalLobbyingExpenditures,2009v1.4;;2009v1.7;;2010v3.2;;2010v3.4;;2010v3.7;;2011v1.2;;2011v1.3;;2011v1.5;;2012v2.1;;2012v2.2;;2012v2.3,1509
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1,2013v3.0;;2013v3.1;;2013v4.0,403
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine1Txt,2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,13721
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2,2013v4.0,1
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/BusinessName/BusinessNameLine2Txt,2017v2.2;;2018v3.1;;2019v5.0;;2020v4.0;;2021v4.2;;2022v5.0;;2023v5.0,14
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/EIN,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ElectingOrganizationInd,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.2;;2022v5.0;;2023v5.1,9666
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/GrassrootsNontxAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/LobbyNontxAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/OtherExemptPurposeExpendAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/ShareExcessLobbyExpendAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotLbbyExpendMnsLobbyNontxAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalDirectLobbyAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalExemptPurposeExpendAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalGrassrootsLobbyAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyExpenditureAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/TotalLobbyGrssrootMnsNontxAmt,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14124
/Return/ReturnData/AffiliatedGroupSchedule/AffiliatedScheduleGrp/USAddress,2013v3.0;;2013v3.1;;2013v4.0;;2014v5.0;;2014v6.0;;2015v2.1;;2015v3.0;;2016v3.0;;2016v3.1;;2017v2.2;;2017v2.3;;2018v3.1;;2018v3.2;;2018v3.3;;2019v5.0;;2019v5.1;;2019v5.2;;2020v4.0;;2020v4.1;;2020v4.2;;2021v4.0;;2021v4.1;;2021v4.2;;2022v5.0;;2023v5.0;;2023v5.1,14123
