xpath,variable_name,variable_name_new,nch,description,location_code_xsd,location_code,form,form,version,part,line_number,scope,data_type_xsd,data_type_simple,cardinality,rdb_table,required,versions,latest_version,duplicated,current_version,production_rule,validated,,
/Return/ReturnHeader/Preparer/Name,F9_00_HD_PREPARENAME,F9_00_PREP_NAME,15,Paid Preparer Name,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerPersonGrp/PreparerPersonNm,F9_00_HD_PREPARENAME,F9_00_PREP_NAME,15,Paid Preparer Name,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/Preparer/Phone,F9_00_HD_PREPAREPHONE,F9_00_PREP_PHONE,16,Paid Preparer Phone,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PhoneNumberType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerPersonGrp/PhoneNum,F9_00_HD_PREPAREPHONE,F9_00_PREP_PHONE,16,Paid Preparer Phone,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PhoneNumberType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/Preparer/PTIN,F9_00_HD_PREPAREPTIN,F9_00_PREP_PTIN,15,Paid Preparer PTIN,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PTINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerPersonGrp/PTIN,F9_00_HD_PREPAREPTIN,F9_00_PREP_PTIN,15,Paid Preparer PTIN,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PTINType,numeric,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/Preparer/SelfEmployed,F9_00_HD_PREPARESELFEMP,F9_00_PREP_SELF_EMPLOYED_X,26,Indicates that Paid Preparer is Self-Employed,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CheckboxType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerPersonGrp/SelfEmployedInd,F9_00_HD_PREPARESELFEMP,F9_00_PREP_SELF_EMPLOYED_X,26,Indicates that Paid Preparer is Self-Employed,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,CheckboxType,checkbox,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/Preparer/DatePrepared,F9_00_HD_PREPAREDATE,F9_00_PREP_SIGNTR_DATE,22,Date of Paid Preparer's Signature,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,DateType,date,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
/Return/ReturnHeader/PreparerPersonGrp/PreparationDt,F9_00_HD_PREPAREDATE,F9_00_PREP_SIGNTR_DATE,22,Date of Paid Preparer's Signature,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,DateType,date,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/BusinessOfficerGrp/PersonNm,F9_00_HD_OFFICERNAME,F9_00_SIGNING_OFF_NAME,22,Signing Officer Name,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,2016,F,T,,,,
/Return/ReturnHeader/Officer/Name,F9_00_HD_OFFICERNAME,F9_00_SIGNING_OFF_NAME,22,Signing Officer Name,,F990-PART-02,HEADER,F990,PC,PART-02,,HD,PersonNameType,text,ONE,F9-P02-T00-SIGNATURE,FALSE,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,2012,F,T,,,,
